epoch,train_loss,train_acc,val_loss,val_acc,learning_rates
0,1.571502252840978,0.4693063228974831,1.1942324817506342,0.562568306010929,[0.001]
1,1.234055647111087,0.5695382306800355,1.1403377813068245,0.5975409836065574,[0.001]
2,1.1386458738204217,0.59910647295546,1.0324217066738774,0.6330601092896175,[0.001]
3,1.064086510018546,0.6227065002387286,0.9791759418659522,0.6404371584699453,[0.001]
4,1.0010476446877024,0.6449423640952187,0.8911715461256725,0.6598360655737705,[0.001]
5,0.9569842117186108,0.660357410817816,0.8483849331980846,0.6857923497267759,[0.001]
6,0.91316552972348,0.6774776618238865,0.8130435367750991,0.6959016393442623,[0.001]
7,0.8803231657449841,0.6889366346088261,0.8294435941456445,0.6912568306010929,[0.001]
8,0.8419974786540381,0.6981788418252507,0.7768922490500362,0.7120218579234973,[0.001]
9,0.8174168440201347,0.7091262533251483,0.7603785709605191,0.719672131147541,[0.001]
10,0.7949869898931448,0.7175499624855057,0.7271292885144551,0.7382513661202186,[0.001]
11,0.7687057074481831,0.7268262737875998,0.7151313429973164,0.7439890710382514,[0.001]
12,0.7566506950943558,0.7289748311847759,0.6942835117298397,0.7459016393442623,[0.001]
13,0.7420096877863508,0.735386399290635,0.6369424973680673,0.7573770491803279,[0.001]
14,0.7239049799375942,0.744219357479026,0.6712857224902169,0.7603825136612021,[0.001]
15,0.7023920476961067,0.7490962417297592,0.6239663861488384,0.7762295081967213,[0.001]
16,0.694579227763775,0.7535297728667895,0.6287451285156396,0.7658469945355191,[0.001]
17,0.6803542482772439,0.7588500102312257,0.6332750875116046,0.7756830601092897,[0.001]
18,0.6624369401169395,0.764613600709365,0.6366227166900218,0.7691256830601093,[0.001]
19,0.6534942153506613,0.7681263215333197,0.615507079701606,0.7784153005464481,[0.001]
20,0.649045486492802,0.7680581133619807,0.6171602582670952,0.7784153005464481,[0.001]
21,0.6355205867082505,0.7739922242684674,0.5979502631015465,0.7857923497267759,[0.001]
22,0.6233078835158676,0.7811881863447241,0.5888879978591627,0.7885245901639344,[0.001]
23,0.6207077729491401,0.7799263351749539,0.5708015564360905,0.7969945355191257,[0.001]
24,0.6128098894255962,0.7838824091126116,0.5785928302123898,0.7907103825136612,[0.001]
25,0.6005650719084101,0.785519405224746,0.5607705163173988,0.8043715846994536,[0.001]
26,0.5967420678486417,0.7875315462792443,0.5706189368591934,0.7961748633879782,[0.001]
27,0.5885426594594533,0.7926471591296638,0.5821579410078747,0.7939890710382513,[0.001]
28,0.5801001828044183,0.7922720141872996,0.5603170248980079,0.8038251366120218,[0.001]
29,0.575028376164276,0.7953413818975513,0.5942321918049797,0.7912568306010929,[0.001]
30,0.5597433840445465,0.8009003478616739,0.5678774282906225,0.8038251366120218,[0.001]
31,0.5583784336868457,0.8017870540890799,0.554556745665321,0.8013661202185792,[0.001]
32,0.5494372956660571,0.8055385035127208,0.5403142959368034,0.8106557377049181,[0.001]
33,0.5434308033727476,0.8093922651933702,0.5577970661100794,0.8084699453551912,[0.001]
34,0.5392946762437263,0.8094263692790397,0.5462564279147185,0.8013661202185792,[0.001]
35,0.5318380143793501,0.8125298410749607,0.544624029222082,0.8076502732240437,[0.001]
36,0.5281744233445202,0.8130755064456722,0.5373560829892184,0.8166666666666667,[0.001]
37,0.5201402857028627,0.8143714617011117,0.5393645799876562,0.8131147540983606,[0.001]
38,0.5173027632254532,0.8162812904986018,0.5387177333154314,0.8101092896174863,[0.001]
39,0.511733734898788,0.8197940113225565,0.525589367796163,0.8076502732240437,[0.001]
40,0.5065192117037954,0.8190437214378282,0.4965236233068946,0.819672131147541,[0.001]
41,0.4974576294296118,0.8234772525748585,0.5068835126571968,0.8210382513661202,[0.001]
42,0.4893218843758931,0.8253529772866789,0.5484666467364369,0.823224043715847,[0.001]
43,0.4927723475233057,0.8259668508287292,0.4978444649873536,0.8185792349726776,[0.001]
44,0.4875615588127936,0.828524657253939,0.5259184800210547,0.8199453551912569,[0.001]
45,0.4794943723490924,0.8279789918832277,0.5100322407451484,0.8275956284153005,[0.001]
46,0.4721217802322038,0.8315940249641907,0.5006471387349842,0.8177595628415301,[0.0005]
47,0.4129390593895881,0.8513061864811404,0.4726534767229049,0.8412568306010929,[0.0005]
48,0.4002146628415891,0.8566264238455767,0.470377258345729,0.8418032786885246,[0.0005]
49,0.3917186851594484,0.8607189141259123,0.4483564871745031,0.8415300546448088,[0.0005]
50,0.3869842513669001,0.8594911670418116,0.4581278367772128,0.8439890710382514,[0.0005]
51,0.3802934339106485,0.8624241184093855,0.4765757736123976,0.8412568306010929,[0.0005]
52,0.3794937316290427,0.8619125571243434,0.4589579164086144,0.8431693989071039,[0.0005]
53,0.3654565827744563,0.8666871291180683,0.4655493336948541,0.8459016393442623,[0.0005]
54,0.3674419146000904,0.8653911738626288,0.477262809286352,0.8459016393442623,[0.0005]
55,0.3697380739315072,0.8664484005183821,0.4445131782951251,0.8513661202185793,[0.0005]
56,0.3647643984701662,0.8673010026601187,0.4594593612222724,0.8489071038251366,[0.0005]
57,0.3598532261952364,0.8682900211445331,0.4580741839330704,0.8472677595628415,[0.0005]
58,0.3546091054867498,0.870779619398404,0.4628639035700448,0.8478142076502733,[0.0005]
59,0.3569909068744689,0.8735761544232999,0.4496864691213832,0.8439890710382514,[0.0005]
60,0.3469404206457425,0.87483800559307,0.4566013720191893,0.846448087431694,[0.0005]
61,0.3432667703036112,0.8761339608485097,0.4557454583097677,0.8467213114754099,[0.00025]
62,0.3130172050045584,0.8853420639792647,0.4548872455873124,0.8527322404371585,[0.00025]
63,0.3050327523531509,0.8878998704044745,0.434044999926468,0.860655737704918,[0.00025]
64,0.3030735966282907,0.8896732828592866,0.4452359332738678,0.855191256830601,[0.00025]
65,0.297723711431372,0.8920946729418184,0.4435181823584551,0.8603825136612022,[0.00025]
66,0.2967304973507649,0.8931518995975718,0.4503343322237984,0.8587431693989072,[0.00025]
67,0.2944297647725819,0.8922651933701657,0.4312520298475776,0.8603825136612022,[0.00025]
68,0.2904357869379046,0.8949594161380533,0.4405325737155852,0.8576502732240437,[0.00025]
69,0.2813678649742959,0.897517222563263,0.4485709717039202,0.8590163934426229,[0.00025]
70,0.2829760012998399,0.8962894754791624,0.4584863810591359,0.8581967213114754,[0.00025]
71,0.2887573752898603,0.8962212673078235,0.4394997426069499,0.8612021857923498,[0.00025]
72,0.2763063645234383,0.8991883227610667,0.455654983971614,0.8639344262295082,[0.00025]
73,0.2804940011928842,0.898096992019644,0.4680204561957326,0.8540983606557377,[0.000125]
74,0.2649606631922775,0.903553645726758,0.4424782040259226,0.8644808743169399,[0.000125]
75,0.2574046465057068,0.9044062478684947,0.43986896986518403,0.8633879781420765,[0.000125]
76,0.2524820303178632,0.9077143441784326,0.45811241949842274,0.8609289617486339,[0.000125]
77,0.2545168926158915,0.9053270581815701,0.43381350553426584,0.8617486338797814,[0.000125]
